Listing Name,Time Listed,Neighborhood,Link,Price
OSGOOD LOCATION-W/D-DBL GARAGE-BALCONY,2021-10-07 17:58,5100 44th Ave S,https://fargo.craigslist.org/apa/d/fargo-osgood-location-d-dbl-garage/7391059950.html,1050
AVAILABLE NOW-CAT FRIENDLY-AFFORDABLE MOORHEAD LOCATION,2021-10-07 17:32,"1003 18 1/2 St S Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-available-now-cat-friendly/7390008290.html,600
AFFORDABLE-CLOSE TO MSUM-SECURE BUILDING-6 PLEX,2021-10-07 17:32,"921 18 1/2 St S Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-affordable-close-to-msum/7390011339.html,525
AFFORDABLE 1 BED - MOORHEAD- AVAILABLE NOW,2021-10-07 17:32,"1119 19th St S Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-affordable-bed-moorhead/7390015362.html,425
AVAILABLE 2 BED-NEW CARPET-CALL FOR A SHOWING TODAY,2021-10-07 17:32,"1119 19th St S Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-available-bed-new-carpet-call/7390018259.html,525
AFFORDABLE MOORHEAD-1 BEDROOM- RENT NOW,2021-10-07 17:32,"1119 19th St S Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-affordable-moorhead-bedroom/7390021653.html,425
1 &amp; 2 BEDS AVAILABLE - RENT READY - CALL TODAY,2021-10-07 17:32,"1119 19th St S Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-beds-available-rent-ready-call/7390033716.html,425
LARGE 2 BD-DBL GARAGE-CAT FRIENDLY,2021-10-07 15:04,2545 14th St. S,https://fargo.craigslist.org/apa/d/fargo-large-bd-dbl-garage-cat-friendly/7389995273.html,545
CLOSE TO 25TH STREET-AVAILABLE NOW-AFFORDABLE-812 SQ FT,2021-10-07 14:41,Fargo,https://fargo.craigslist.org/apa/d/fargo-close-to-25th-street-available/7390967586.html,585
CORNER UNIT-GARAGE-AVAILABLE NOW-CLOSE TO INTERSTATE,2021-10-07 14:35,Fargo,https://fargo.craigslist.org/apa/d/fargo-corner-unit-garage-available-now/7390964327.html,625
|Downtown Fargo| Pet Friendly| Parking| Patio|,2021-10-07 14:33,Fargp,https://fargo.craigslist.org/apa/d/fargo-downtown-fargo-pet-friendly/7389992200.html,950
|2 bedroom in Downtown Fargo; Charming|,2021-10-07 14:31,Fargo,https://fargo.craigslist.org/apa/d/fargo-bedroom-in-downtown-fargo-charming/7389991734.html,600
|Charming 1 bedroom in Downtown Fargo|,2021-10-07 14:30,Fargo,https://fargo.craigslist.org/apa/d/fargo-charming-bedroom-in-downtown-fargo/7389994110.html,535
QUIET 7 PLEX - NORTH FARGO - GARAGE - AVAILABLE NOW,2021-10-07 14:28,"1614 11th Ave N Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-quiet-plex-north-fargo-garage/7390960684.html,630
"Two bd, Townhome style, includes heat and hotwater, near NDSU",2021-10-07 13:51,1308 10th St N,https://fargo.craigslist.org/apa/d/fargo-two-bd-townhome-style-includes/7389948062.html,595
"NDSU area. Second floor, Two bedroom- includes heat and hotwater",2021-10-07 13:51,"north Fargo near NDSU, 1312 10th St N",https://fargo.craigslist.org/apa/d/fargo-ndsu-area-second-floor-two/7381567119.html,445
"Heat and Hotwater Included, Park view",2021-10-07 13:50,"1818 2nd Ave S, Fargo",https://fargo.craigslist.org/apa/d/fargo-heat-and-hotwater-included-park/7383492358.html,495
Convenient location - one block from I94 entrance ramp,2021-10-07 13:49,"3015 20th St S, Moorhead",https://fargo.craigslist.org/apa/d/moorhead-convenient-location-one-block/7388165537.html,515
ROYAL OAKS! Pets! Huge Walk-In Closets! Big Balcony/Patio! Free Heat!,2021-10-07 13:07,South Fargo,https://fargo.craigslist.org/apa/d/fargo-royal-oaks-pets-huge-walk-in/7390915496.html,640
ROYAL OAKS! Pets! Huge Walk-In Closets! Big Balcony/Patio! Free Heat!,2021-10-07 13:05,South Fargo,https://fargo.craigslist.org/apa/d/fargo-royal-oaks-pets-huge-walk-in/7390914173.html,640
"LOCATION, LOCATION, LOCATION!! CLOSE TO EVERYTHING! SPACIOUS 1 BD",2021-10-07 12:02,2411 30 1/2 Ave S,https://fargo.craigslist.org/apa/d/location-location-location-close-to/7389909241.html,500
DECEMBER 1- W/D IN UNIT-GARAGE-SPACIOUS-FIREPLACE,2021-10-07 11:59,"4240 17th Ave S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-december-d-in-unit-garage/7390875204.html,745
GARAGES AVAILABLE FOR RENT-GROUND LEVEL-NEW COUNTER TOPS,2021-10-07 11:46,"111 18th St S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-garages-available-for-rent-ground/7390867766.html,550
AVAILABLE NOW-BALCONY-AFFORDABLE-ONLY PAY ELECTRIC,2021-10-07 11:43,"111 18th St S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-available-now-balcony-affordable/7390865679.html,575
SPACIOUS 2 BED-W/D IN UNIT-GARAGE-BALCONY-FIREPLACE-HEAT PD,2021-10-07 11:14,4240 17th Ave. S,https://fargo.craigslist.org/apa/d/fargo-spacious-bed-d-in-unit-garage/7389889424.html,745
WILL WORKWITH BAD CREDIT..Heat Pd.. N.FGO..2Bed Great location,2021-10-07 10:56,202 35 AVE NORTH,https://fargo.craigslist.org/apa/d/fargo-will-workwith-bad-creditheat-pd/7379349546.html,795
NEAR AMAZON SITE..Heat Pd.. N.FGO..2Bed Great location,2021-10-07 10:56,202 35 AVE NORTH,https://fargo.craigslist.org/apa/d/fargo-near-amazon-siteheat-pd-nfgo2bed/7379560139.html,795
1bedroom-Sanford/downtown/Subsidized Rent,2021-10-07 10:29,North Fargo,https://fargo.craigslist.org/apa/d/fargo-1bedroom-sanford-downtown/7389387638.html,0
1 bedroom Apartment. Sanford/Downtown/NDSU,2021-10-07 10:28,North Fargo,https://fargo.craigslist.org/apa/d/fargo-bedroom-apartment-sanford/7389388940.html,495
NORTH FARGO-GARAGE INCLUDED-BALCONY-DECEMBER 1,2021-10-07 09:34,"401 30th Ave N Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-north-fargo-garage-included/7390793948.html,640
LARGE S. FARGO 2 BD-GARAGE-BALCONY,2021-10-07 09:18,2414 17th St S,https://fargo.craigslist.org/apa/d/fargo-large-fargo-bd-garage-balcony/7389620488.html,625
W/D IN UNIT-GARAGE INCLUDED-BALCONY-AVAILABLE NOVEMBER 1,2021-10-07 09:04,"4240 17th Ave S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-d-in-unit-garage-included-balcony/7386347718.html,695
AVAILABLE NOW-GROUND LEVEL-GARAGES AVAILABLE,2021-10-07 09:04,"1819 2nd Ave S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-available-now-ground-level/7384917529.html,550
DOG FRIENDLY-AFFORDABLE-AVAILABLE NOW,2021-10-07 09:04,"2301 30 1/2 Ave S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-dog-friendly-affordable-available/7383027572.html,585
GARAGE INCLUDED-NORTH FARGO-AVAILABLE NOW,2021-10-07 09:04,"1614 11th Ave N Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-garage-included-north-fargo/7383007672.html,630
GROUND LEVEL-NOVEMBER 1-FIREPLACE-DBLE GARAGE,2021-10-07 09:04,"2709 15th St S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-ground-level-november-fireplace/7380276063.html,615
CONVENIENT LOCATION-OCTOBER 1-MOORHEAD-AFFORDABLE,2021-10-07 09:04,"2415 4th Ave N Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-convenient-location-october/7380588010.html,565
NOVEMBER 1-MOORHEAD-3 BEDROOM-965 SQ FT,2021-10-07 09:04,"915 18 1/2 St S Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-november-moorhead-bedroom-965/7380596724.html,760
NORTH FARGO-CLOSE TO NDSU-GARAGE INCLUDED,2021-10-07 09:04,"1614 11th Ave N Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-north-fargo-close-to-ndsu-garage/7386255429.html,630
AVAILABLE NOW-W/D IN UNIT-NORTH FARGO-GARAGE-CLOSE TO NDSU,2021-10-07 09:04,"1142 17th St N. Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-available-now-d-in-unit-north/7386256830.html,1095
DECEMBER 1-DBLE GARAGE-NORTH FARGO-4PLEX,2021-10-07 09:04,"1133 10th St N Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-december-dble-garage-north-fargo/7386259643.html,845
1 &amp; 2 Bed Availability - Available NOW - CALL TODAY,2021-10-07 09:04,"2545 14th St S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-bed-availability-available-now/7387142463.html,565
AFFORDABLE-ONLY PAY ELECTRIC-GARAGES AVAILABLE FOR RENT,2021-10-07 09:04,"111 18th St S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-affordable-only-pay-electric/7387131687.html,550
VAULTED CEILING-ELEVATOR-DBLE GARAGE-W/D IN UNIT-NOVEMBER 1,2021-10-07 09:04,"4425 31st Ave S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-vaulted-ceiling-elevator-dble/7387100998.html,1005
AVAILABLE NOW-SOUTH FARGO-RIGHT OFF MAIN-ONLY PAY ELECTRIC,2021-10-07 09:03,"1819 2nd Ave S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-available-now-south-fargo-right/7386836063.html,550
Moorhead-Close to MSUM-Affordable-Lease Options,2021-10-07 09:03,"1003 18 1/2 St S Moorhead, MN",https://fargo.craigslist.org/apa/d/moorhead-moorhead-close-to-msum/7386798956.html,600
AVAILABLE DECEMBER 1-W/D IN UNIT-DBLE GARAGE-NO NEIGHBORS ABOVE YOU,2021-10-07 09:03,"2320 65th Ave S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-available-december-w-in-unit-dble/7389384804.html,915
OUT BY DAVIES-SOUTH FARGO-W/D IN UNIT-SPLIT LAYOUT,2021-10-07 09:03,Fargo,https://fargo.craigslist.org/apa/d/fargo-out-by-davies-south-fargo-d-in/7389397236.html,915
JANUARY 1-W/D IN UNIT-DBLE GARAGE-BALCONY-CORNER UNIT,2021-10-07 09:03,"2400 65th Ave S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-january-w-in-unit-dble-garage/7389399121.html,1095
DECEMBER 1-THIRD FLOOR-CORNER UNIT-NO NEIGHBORS ABOVE YOU,2021-10-07 09:03,"2414 17th St S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-december-third-floor-corner-unit/7389401200.html,625
GROUND LEVEL-AFFORDABLE-ASSIGNED PARKING SPOT-DECEMBER 1,2021-10-07 09:03,"2411 30 1/2 Ave S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-ground-level-affordable-assigned/7389410016.html,500
DOUBLE STALL GARAGE-WALK OUT PATIO-DECEMBER 1,2021-10-07 09:03,"4240 53rd Ave S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-double-stall-garage-walk-out/7389542601.html,815
CIMARRON! best pricing! pets! big closets! garage! free heat!,2021-10-07 08:45,South Fargo,https://fargo.craigslist.org/apa/d/fargo-cimarron-best-pricing-pets-big/7381207170.html,680
DOCK 9! Huge Walk-In Closets! Big Balcony/Patio! Free Heat! Pets!,2021-10-07 08:44,South Fargo,https://fargo.craigslist.org/apa/d/fargo-dock-huge-walk-in-closets-big/7381204272.html,735
Quiet! Massive Balcony or Patio! Garage! Pets! Free Heat!,2021-10-07 08:44,South Fargo,https://fargo.craigslist.org/apa/d/fargo-quiet-massive-balcony-or-patio/7389515480.html,745
Downtown Fargo 2 Bed 1 Bath,2021-10-07 07:52,Downtown Fargo,https://fargo.craigslist.org/apa/d/fargo-downtown-fargo-bed-bath/7388273918.html,590
Renovated Historical Home for Rent,2021-10-06 22:14,Fargo,https://fargo.craigslist.org/apa/d/fargo-renovated-historical-home-for-rent/7390678998.html,1500
Refurbished Two Bedroom Apartment for Rent,2021-10-06 21:49,"Fergus Falls, MN",https://fargo.craigslist.org/apa/d/fergus-falls-refurbished-two-bedroom/7390673385.html,675
VAULTED CEILING-DECEMBER 15-DBLE GARAGE-W/D IN UNIT,2021-10-06 15:46,"4240 53rd Ave S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-vaulted-ceiling-december-15-dble/7390539424.html,815
NOVEMBER 1-GROUND LEVEL-DBLE GARAGE-AFFORDABLE-SOUTH FARGO,2021-10-06 15:39,"2709 15th St S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-november-ground-level-dble-garage/7390536020.html,615
DBLE GARAGE-NORTH FARGO-DECEMBER 1-QUIET 4 PLEX,2021-10-06 15:32,"1133 10th St N Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-dble-garage-north-fargo-december/7390532280.html,845
Vaulted Ceilings and Balcony! PHOTOS OF EXACT UNIT!,2021-10-06 14:43,Fargo,https://fargo.craigslist.org/apa/d/fargo-vaulted-ceilings-and-balcony/7389423758.html,915
NEWLY BUILT! Lots of SQFT!,2021-10-06 14:43,Fargo,https://fargo.craigslist.org/apa/d/fargo-newly-built-lots-of-sqft/7389428371.html,915
1ST FLOOR! NEWLY BUILT! DOUBLE-STALL GARAGE!,2021-10-06 14:43,Fargo,https://fargo.craigslist.org/apa/d/fargo-1st-floor-newly-built-double/7389432267.html,815
"Heat and Hotwater Included, Park view",2021-10-06 12:55,"1818 2nd Ave S, Fargo",https://fargo.craigslist.org/apa/d/fargo-heat-and-hotwater-included-park/7385358757.html,495
Moorhead availability! Close to MSUM,2021-10-06 12:53,Moorhead,https://fargo.craigslist.org/apa/d/moorhead-moorhead-availability-close-to/7390442471.html,425
Only $550! Garden Level! Don't have to carry your laundry far!,2021-10-06 12:46,Fargo,https://fargo.craigslist.org/apa/d/fargo-only-550-garden-level-dont-have/7378464450.html,550
WASHER/DRYER IN-UNIT! AT A GREAT PRICE!,2021-10-06 12:46,Fargo,https://fargo.craigslist.org/apa/d/fargo-washer-dryer-in-unit-at-great/7387153988.html,745
Double-stall garage! Updated Kitchen and Bathroom!Available Now!,2021-10-06 12:46,Fargo,https://fargo.craigslist.org/apa/d/fargo-double-stall-garage-updated/7386748397.html,660
The only 1bd/1ba left! So much shopping in the area!,2021-10-06 12:46,Fargo,https://fargo.craigslist.org/apa/d/fargo-the-only-1bd-1ba-left-so-much/7387139136.html,695
Convenient location - one block from I94 entrance ramp,2021-10-06 11:36,"3015 20th St S, Moorhead",https://fargo.craigslist.org/apa/d/moorhead-convenient-location-one-block/7378386596.html,515
Floor Options avaialble!,2021-10-06 11:26,Fargo,https://fargo.craigslist.org/apa/d/fargo-floor-options-avaialble/7386837875.html,525
Efficiency Availability in Moorhead!,2021-10-06 11:25,Moorhead,https://fargo.craigslist.org/apa/d/moorhead-efficiency-availability-in/7386748933.html,385
"North Fargo 10th St. N, close to NDSU!",2021-10-06 11:25,Fargo,https://fargo.craigslist.org/apa/d/fargo-north-fargo-10th-st-close-to-ndsu/7386716052.html,845
Woodbury I has availability now and later!,2021-10-06 11:25,Fargo,https://fargo.craigslist.org/apa/d/fargo-woodbury-has-availability-now-and/7380626689.html,615
"Plan ahead, 3BD available January!",2021-10-06 11:25,Fargo,https://fargo.craigslist.org/apa/d/fargo-plan-ahead-3bd-available-january/7389402069.html,1095
Last unit available! Photos of exact apartment!,2021-10-06 11:25,Fargo,https://fargo.craigslist.org/apa/d/fargo-last-unit-available-photos-of/7386704885.html,1095
3rd floor unit with beautiful high ceilings! And elevator in building!,2021-10-06 11:24,Fargo,https://fargo.craigslist.org/apa/d/fargo-3rd-floor-unit-with-beautiful/7380631747.html,1005
Only $600/mo.! Hardwood floors!,2021-10-06 11:24,Moorhead,https://fargo.craigslist.org/apa/d/moorhead-only-600-mo-hardwood-floors/7386689408.html,600
Garden level with double-stall garage!,2021-10-06 11:24,Fargo,https://fargo.craigslist.org/apa/d/fargo-garden-level-with-double-stall/7380620395.html,615
North Moorhead 2bd/1ba coming available!,2021-10-06 11:24,Moorhead,https://fargo.craigslist.org/apa/d/moorhead-north-moorhead-2bd-1ba-coming/7380392552.html,565
West Fargo unit available November!,2021-10-06 11:19,West Fargo,https://fargo.craigslist.org/apa/d/west-fargo-west-fargo-unit-available/7377976339.html,595
Last unit Available! NO NEIGHBORS ABOVE YOU!,2021-10-06 11:19,Fargo,https://fargo.craigslist.org/apa/d/fargo-last-unit-available-no-neighbors/7389389037.html,625
"Garden Level, plan ahead and schedule a showing!",2021-10-06 11:19,Fargo,https://fargo.craigslist.org/apa/d/fargo-garden-level-plan-ahead-and/7389396595.html,545
Last unit available! Photos of exact apartment!,2021-10-06 11:19,Fargo,https://fargo.craigslist.org/apa/d/fargo-last-unit-available-photos-of/7389377178.html,575
RENT REDUCTION for Onsite Manager Team - 2 Bedroom Rent CREDIT,2021-10-06 11:13,West Fargo,https://fargo.craigslist.org/apa/d/west-fargo-rent-reduction-for-onsite/7390361138.html,325
1318 SQ. FT 2 BD/2 BA-W/D-DBL GARAGE-BALCONY-ELEVATOR,2021-10-06 10:52,4425 31st Ave S.,https://fargo.craigslist.org/apa/d/fargo-1318-sq-ft-bd-ba-d-dbl-garage/7388206011.html,1005
875 SQ FT 1 BD-BALCONY-W/D-GARAGE-FIREPLACE,2021-10-06 10:52,4240 17th Ave S,https://fargo.craigslist.org/apa/d/fargo-875-sq-ft-bd-balcony-d-garage/7387205892.html,695
BRING YOUR DOG! SPACIOUS 2 BD-GARAGE,2021-10-06 10:52,2301 30 1/2 Ave S,https://fargo.craigslist.org/apa/d/fargo-bring-your-dog-spacious-bd-garage/7384467658.html,585
S. FARGO 2 BD-ONLY PAY ELECTRIC-BALCONY,2021-10-06 10:52,111 18th St. S,https://fargo.craigslist.org/apa/d/fargo-fargo-bd-only-pay-electric-balcony/7387237978.html,575
NEWLY BUILT-WHISPERING PINES-W/D-GARAGE-WALK-OUT PATIO,2021-10-06 10:52,4240 53rd Ave. S,https://fargo.craigslist.org/apa/d/fargo-newly-built-whispering-pines-d/7388176063.html,815
WEST FARGO-DOG FRIENDLY-HEAT PAID-GARAGE,2021-10-06 10:52,530 6th St. E,https://fargo.craigslist.org/apa/d/west-fargo-west-fargo-dog-friendly-heat/7387786383.html,595
DECEMBER 1-CORNER UNIT-DBLE GARAGE-W/D IN UNIT-BALCONY,2021-10-06 09:30,"5100 44th Ave S Fargo, ND",https://fargo.craigslist.org/apa/d/fargo-december-corner-unit-dble-garage/7390322473.html,1050
|Condo for rent| Updated| Downtown Fargo|,2021-10-06 09:29,Fargo,https://fargo.craigslist.org/apa/d/fargo-condo-for-rent-updated-downtown/7384953962.html,4500
|Heated Parking| Downtown| Pet Friendly|,2021-10-06 09:28,Fargo,https://fargo.craigslist.org/apa/d/fargo-heated-parking-downtown-pet/7379666730.html,880
|Downtown Fargo| Cat Friendly| Exposed Brick|,2021-10-06 09:19,Fargo,https://fargo.craigslist.org/apa/d/fargo-downtown-fargo-cat-friendly/7384983625.html,725
3 Bedroom/2 Bath - House Private Owner,2021-10-06 08:39,South Fargo,https://fargo.craigslist.org/apa/d/fargo-bedroom-bath-house-private-owner/7377324149.html,1195
"HEAT PAID  Spacious 1 bedroom Condo, Garage",2021-10-05 22:33,809 6th Ave. N,https://fargo.craigslist.org/apa/d/fargo-heat-paid-spacious-bedroom-condo/7379015262.html,600
Lake Cabin East Leaf Lake,2021-10-05 19:31,"",https://fargo.craigslist.org/apa/d/deer-creek-lake-cabin-east-leaf-lake/7383830057.html,9500
2 BR apartment,2021-10-05 16:55,Fergus Falls,https://fargo.craigslist.org/apa/d/fergus-falls-br-apartment/7390096317.html,620
Finlandia,2021-10-05 16:47,New York Mills MN,https://fargo.craigslist.org/apa/d/new-york-mills-finlandia/7380816037.html,505
Moorhead options by MSUM available!,2021-10-05 16:03,Moorhead,https://fargo.craigslist.org/apa/d/moorhead-moorhead-options-by-msum/7390070769.html,525
3 Bedroom 2 Bathroom,2021-10-05 15:35,FARGO,https://fargo.craigslist.org/apa/d/fargo-bedroom-bathroom/7390056631.html,919
NEWLY BUILT! Lots of SQFT!,2021-10-05 11:26,Fargo,https://fargo.craigslist.org/apa/d/fargo-newly-built-lots-of-sqft/7389911840.html,1050
3rd floor unit with beautiful vaulted ceilings!,2021-10-05 11:23,Fargo,https://fargo.craigslist.org/apa/d/fargo-3rd-floor-unit-with-beautiful/7389909965.html,865
Nice Long term motel rooms in Fargo,2021-10-05 11:20,"1024 40th St S, Fargo",https://fargo.craigslist.org/apa/d/fargo-nice-long-term-motel-rooms-in/7383491683.html,575
"Close to NDSU with a private, wooded backyard.",2021-10-05 11:10,Fargo,https://fargo.craigslist.org/apa/d/fargo-close-to-ndsu-with-private-wooded/7383248010.html,1250
2 Bdrm HEAT PAID: Downtown Sandford/Horace Mann Elem.,2021-10-05 10:43,North Fargo,https://fargo.craigslist.org/apa/d/fargo-bdrm-heat-paid-downtown-sandford/7378342942.html,580
1BD/1BA with DOUBLE-STALL GARAGE!,2021-10-05 09:58,West Fargo,https://fargo.craigslist.org/apa/d/west-fargo-1bd-1ba-with-double-stall/7389860023.html,775
@2 Bedroom in North Moorhead!!----At 2414 3rd Ave N--For rent@,2021-10-05 09:13,Moorhead,https://fargo.craigslist.org/apa/d/moorhead-bedroom-in-north-moorhead-at/7389818870.html,560
Apartment in Residential Setting,2021-10-05 08:55,West Fargo,https://fargo.craigslist.org/apa/d/west-fargo-apartment-in-residential/7389827772.html,775
Detroit Lakes MN- Lake Home for Rent (Oct.-May),2021-10-04 20:35,Detroit Lakes,https://fargo.craigslist.org/apa/d/detroit-lakes-mn-lake-home-for-rent-oct/7389703821.html,900
"Fresh new plank flooring, One block to campus, spacious, patio****",2021-10-04 17:38,"MOORHEAD CAMPUS, MSU, CONCORDIA ........",https://fargo.craigslist.org/apa/d/moorhead-fresh-new-plank-flooring-one/7381566647.html,700
"MSU FRESH CLEAN NEW PLANK FLOORS, NICE, SPACIOUS *****",2021-10-04 17:38,"MOORHEAD CAMPUS, MSU, CONCORDIA ........",https://fargo.craigslist.org/apa/d/moorhead-msu-fresh-clean-new-plank/7381562707.html,500
"PARK view, open living area, natural light, quiet, patio, pantry ****",2021-10-04 17:38,ISLAND - PARK - DOWNTOWN FARGO ******,https://fargo.craigslist.org/apa/d/fargo-park-view-open-living-area/7381559314.html,1000
"STUDIO, GREAT LOCATION, TILE, NATURAL LIGHT , HIGH CEILINGS , QUIET **",2021-10-04 17:38,FARGO DOWNTOWN ISLAND PARK GREAT LOCATION ***,https://fargo.craigslist.org/apa/d/fargo-studio-great-location-tile/7381556388.html,625
GREAT PRICED 1BD/1BA!,2021-10-04 16:45,Fargo,https://fargo.craigslist.org/apa/d/fargo-great-priced-1bd-1ba/7389610244.html,525
BEAUTIFUL CEILINGS! NEWLY BUILT! 1BD WITH DOUBLE-STALL GARAGE!,2021-10-04 16:24,Fargo,https://fargo.craigslist.org/apa/d/fargo-beautiful-ceilings-newly-built/7389597758.html,815
Exercise Room! Community Room! Balcony/Patio! Garage! Huge Closets!,2021-10-04 14:12,South Fargo,https://fargo.craigslist.org/apa/d/fargo-exercise-room-community-room/7389511911.html,760
Quiet! Massive Balcony or Patio! Garage! Pets! Free Heat!,2021-10-04 14:08,South Fargo,https://fargo.craigslist.org/apa/d/fargo-quiet-massive-balcony-or-patio/7389513971.html,745
